Food code;Main food description;WWEIA Category number;WWEIA Category description;Energy;Protein;Carbohydrate;Total Fat;Calcium;Iron
92400000;Soft drink, NFS;7202;Soft drinks;42;0;10,36;0,25;1;0,02
92400100;Soft drink, NFS, diet;7102;Diet soft drinks;2;0,11;0,29;0,03;3;0,11
92410110;Water, tonic;7802;Flavored or carbonated water;34;0;8,8;0;1;0,01
92410210;Water, carbonated, plain;7802;Flavored or carbonated water;0;0;0;0;5;0,01
92410250;Water, carbonated, flavored;7802;Flavored or carbonated water;0;0,1;0;0;4;0,04
92410310;Soft drink, cola;7202;Soft drinks;42;0;10,36;0,25;1;0,02
92410320;Soft drink, cola, diet;7102;Diet soft drinks;2;0,11;0,29;0,03;3;0,11
92410340;Soft drink, cola, decaffeinated;7202;Soft drinks;41;0;10,58;0;2;0,02
92410350;Soft drink, cola, decaffeinated, diet;7102;Diet soft drinks;1;0,12;0,12;0;3;0,02
92410360;Soft drink, pepper type;7202;Soft drinks;42;0;10,36;0,25;1;0,02
92410370;Soft drink, pepper type, diet;7102;Diet soft drinks;2;0,11;0,29;0,03;3;0,11
92410390;Soft drink, pepper type, decaffeinated;7202;Soft drinks;41;0;10,58;0;2;0,02
92410400;Soft drink, pepper type, decaffeinated, diet;7102;Diet soft drinks;1;0,12;0,12;0;3;0,02
92410410;Soft drink, cream soda;7202;Soft drinks;51;0;13,3;0;5;0,05
92410420;Soft drink, cream soda, diet;7102;Diet soft drinks;0;0,1;0;0;4;0,04
92410510;Soft drink, fruit flavored, caffeine free;7202;Soft drinks;40;0,05;10,14;0,02;2;0,11
